ETUNIMI;YHTEENSÄ
Alessandra;194
Sienna;194
Riitta-Maija;193
Esmeralda;192
Amy;192
Kiti;192
Molly;190
Jana;190
Jasmi;189
Nicolina;189
Märtha;188
Sabine;188
Saskia;188
Suvi-Päivikki;188
Daniella;188
Juliette;187
Thuy;187
Rosalia;187
Katri-Helena;186
Hilpi;185
Bettiina;185
Nadezda;184
Vadelma;184
Ann-Maj;184
Ida-Sofia;184
Tanya;184
Tatjaana;183
Eleanor;183
Saida;182
Kaisa-Leena;181
Markit;181
Merike;180
Annabel;178
Marija;178
Dolores;178
Mimi;177
Milaja;177
Lisen;177
Iira;176
Serena;176
Thelma;175
Ljudmila;175
Maria-Leena;175
Tiitu;174
Sarlotta;174
Sanna-Liisa;173
Tiina-Liisa;173
Estrid;173
Tarja-Leena;173
Cia;172
Jenita;172
Thanh;171
Raija-Leena;171
Ana;171
Sesilia;170
Britt-Mari;170
Eelin;169
Mei;169
Beda;169
Liv;168
Tyyni;168
Hannaleena;168
Lisette;167
Nia;167
Li;167
Rina;167
Ranja;167
Eva-Liisa;167
Ia;166
Liudmila;166
Pirjo-Leena;166
Mina;166
Mariette;166
Thu;165
Matintytär;165
Jekaterina;165
Ragni;164
Henna-Maria;164
Tania;163
Eevastiina;163
Katherine;163
Elsie;163
Desire;163
Inge;162
Mia-Maria;162
Marinka;162
Jennica;162
Viia;161
Pepita;160
Sara-Sofia;160
Ariel;159
Kaisa-Maria;159
Ann-Lis;159
Eufemia;159
Elissa;159
Hilkka-Liisa;158
Maari;158
Anna-Stina;158
Pulmu;157
Hildur;157
Pälvi;157
Cornelia;157
Tuisku;157
Dorrit;156
Alexa;156
Miia-Maria;155
Nellie;155
Marjaliisa;155
Elida;154
Tarja-Liisa;154
Marikka;154
Vilina;154
Eedla;154
Mirette;153
Helén;153
Enne;153
Aino-Kaisa;153
Ellida;153
Laura-Maria;152
Gisela;152
Wenla;152
Kata;152
Anna-Elina;151
Milla-Maria;151
Salla-Maria;151
Irinja;151
Francesca;151
Marilla;151
Virginia;150
Jannina;150
Sivi;150
Samantha;150
Kaneli;150
Kastanja;149
Dorothea;149
Merika;149
Katrine;149
Lauha;148
Tiia-Mari;148
Janiina;148
Jenni-Maria;148
Joy;147
Runa;147
Aniita;146
Albertiina;146
Niia;146
Christiina;146
Tiina-Maija;146
Anna-Reetta;146
Nina-Maria;146
Miitta;145
Omar;145
Antintytär;145
Jennina;145
Elizaveta;145
Elice;144
Mohamud;144
Moonika;143
Renja;143
Anna-Kristiina;143
Inge-Maj;143
